model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
ItemCF-Distill-TwoTower,big_matrix,20,2000000,7174,0.00975379,0.41497073,0.04318372,0.04226240,0.04166667,0.61742641,0.67195339,7.5914,0.3992,mlu,用 ItemCF TopK teacher 样本和真实行为样本蒸馏训练 Two-Tower。
DNNRanker,big_matrix,20,2559393,7174,0.00007726,0.00529691,0.00027181,0.00026189,0.01640567,0.76008368,0.62023980,10.2024,20.3369,mlu,"融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型，并追加 559,393 条蒸馏 Two-Tower 高分难负样本训练。"
DistillTwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.01311154,0.51282409,0.05108726,0.05236926,0.05303878,0.69078045,0.65312581,17.7938,20.7360,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.01325587,0.52174519,0.05203513,0.05308591,0.05639448,0.69249214,0.61791327,17.7938,20.7360,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.01334742,0.52258154,0.05234179,0.05327090,0.05900447,0.69228470,0.66355045,17.7938,20.7360,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
