model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
ItemCF-Distill-TwoTower,big_matrix,20,2000000,7174,0.01323167,0.48564260,0.05407722,0.05600200,0.03747204,0.61771173,0.67327055,9.3063,0.4419,mlu,用 ItemCF TopK teacher 样本和真实行为样本蒸馏训练 Two-Tower。
DNNRanker,big_matrix,20,2559796,7174,0.00006335,0.00543630,0.00027181,0.00024921,0.01510067,0.76844291,0.61156184,7.3416,19.6897,mlu,"融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型，并追加 559,796 条蒸馏 Two-Tower 高分难负样本训练。"
DistillTwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.01391490,0.51728464,0.04977000,0.05294739,0.03933632,0.66988264,0.66293347,16.6480,20.1317,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.01393610,0.52188458,0.05009757,0.05129617,0.04259881,0.67209411,0.62902589,16.6480,20.1317,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.01397391,0.52258154,0.05041818,0.05064819,0.04409023,0.67200535,0.68549854,16.6480,20.1317,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
