model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
Popularity,small_matrix,20,3595097,1410,0.01165471,0.63191489,0.05826241,0.05572430,0.26450255,0.48008460,0.72757955,0.0046,0.0000,cpu,视频全局完播正反馈热度。
Category,small_matrix,20,3595097,1410,0.01782785,0.82765957,0.08624113,0.08358323,0.22392546,0.53403645,0.72097315,0.2137,0.0000,cpu,视频热度 + 类别 CTR + 用户历史类别偏好。
ItemCF,small_matrix,20,3595097,1410,0.01969011,0.77872340,0.09485816,0.09752493,0.06342050,0.47895483,0.75859996,145.2639,0.0000,cpu,基于共同完播视频的余弦归一化共现相似度。
MF,small_matrix_sample,20,1200000,1410,0.02596173,0.89290780,0.11826241,0.12783602,0.15629696,0.68389460,0.58804494,2.7666,0.0554,mlu,用户和视频 embedding 点积 + bias，使用 BCE 学习完播正反馈。
Two-Tower,small_matrix_sample,20,1200000,1410,0.02605097,0.90141844,0.12099291,0.14357684,0.15419297,0.54956960,0.63626455,2.9959,0.0364,mlu,用户塔和视频塔分别编码，视频塔融合类别、caption 哈希文本和统计特征。
DNNRanker,small_matrix_sample,20,1200000,1410,0.02553960,0.89148936,0.11783688,0.11321539,0.14818154,0.65679582,0.75942039,3.0874,1.6542,mlu,融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型。
TwoTower+DNN-Rerank@50,small_matrix,20,1200000,1410,0.02549652,0.88865248,0.11783688,0.11335448,0.14968440,0.65679582,0.75942039,6.0833,1.6906,mlu,Two-Tower 先取 Top50 候选，再由 DNN Ranker 重排 Top20。
TwoTower+DNN-Rerank@100,small_matrix,20,1200000,1410,0.02547888,0.89148936,0.11773050,0.11316631,0.14938383,0.65679582,0.75942039,6.0833,1.6906,mlu,Two-Tower 先取 Top100 候选，再由 DNN Ranker 重排 Top20。
TwoTower+DNN-Rerank@200,small_matrix,20,1200000,1410,0.02545827,0.89148936,0.11744681,0.11295771,0.14818154,0.65679582,0.75942039,6.0833,1.6906,mlu,Two-Tower 先取 Top200 候选，再由 DNN Ranker 重排 Top20。
