model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
ItemCF-Distill-TwoTower,big_matrix,20,2000000,7174,0.01099690,0.44703095,0.04648732,0.04777337,0.03775168,0.61412150,0.67357488,8.3930,0.4114,mlu,用 ItemCF TopK teacher 样本和真实行为样本蒸馏训练 Two-Tower。
DNNRanker,big_matrix,20,2559393,7174,0.00048692,0.03456928,0.00173543,0.00169100,0.01677852,0.76089947,0.62339979,10.4413,21.2819,mlu,"融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型，并追加 559,393 条蒸馏 Two-Tower 高分难负样本训练。"
DistillTwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.01239497,0.50278784,0.05057848,0.05260823,0.04791201,0.68301194,0.65867661,18.8342,21.6933,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.01269636,0.51129077,0.05151241,0.05230785,0.05033557,0.68466903,0.62191853,18.8342,21.6933,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.01287239,0.51352105,0.05200028,0.05196710,0.05145414,0.68433584,0.66567494,18.8342,21.6933,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
